ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006119	oxidative phosphorylation	49/748	96/4114	1.47042606697385e-13	4.1506117617762e-11	3.78370879817483e-11	NDUFAB1/UQCRC1/BID/NDUFB4/SDHA/COQ9/NDUFB7/NDUFC1/NDUFS8/ATP5F1B/NDUFS7/PARK7/ATP5PB/NDUFA8/COX6B1/COX4I1/NDUFA2/CCNB1/ATP5MC2/ISCU/NDUFA9/NDUFB10/NDUFB11/SURF1/ATP5F1A/ATP5MC3/ATP5PF/PINK1/NDUFS2/ATP5MC1/STOML2/NDUFB8/ATP5MG/NDUFV1/SDHAF2/COA6/NDUFS5/UQCRFS1/COX8A/NDUFV2/COX5A/CYC1/SHMT2/UQCR10/NDUFA12/UQCC3/NDUFS3/ATP5MF/ATP5PO	49
GO:0006415	translational termination	39/748	67/4114	1.86611850453228e-13	4.82858163047728e-11	4.40174794621694e-11	MRPL43/MRPS24/MRPS34/MRPL22/MRPS18A/MRPL4/MRPL27/MRPL18/MRPL37/MRPS15/MRPS2/MRPS7/MRPS26/MRPL24/MRPL9/MRRF/OXA1L/APEH/MRPL16/MRPL58/TRMT112/MRPL57/MRPL11/AURKAIP1/GADD45GIP1/MRPL14/MRPS11/MRPL41/MRPS16/MRPL40/MRPL21/MRPL53/MRPL23/MRPS17/MRPL20/MRPL46/MRPL12/MRPS21/MRPL45	39
GO:0045333	cellular respiration	52/748	106/4114	2.02541390175592e-13	4.83762320380932e-11	4.4099902686815e-11	NDUFAB1/UQCRC1/BID/AIFM2/NDUFB4/IDH3G/SDHA/COQ9/FH/NDUFB7/IDH3B/NOP53/ETFB/NDUFC1/NDUFS8/NDUFS7/PARK7/SDHB/NDUFA8/COX6B1/COX4I1/NDUFA2/PDHA1/CCNB1/ISCU/NDUFA9/NDUFB10/MDH2/NDUFB11/SURF1/OXA1L/PINK1/NDUFS2/SUCLG1/NDUFB8/NDUFV1/SDHAF2/COA6/PDHB/NDUFS5/UQCRFS1/PRELID1/COX8A/NDUFV2/COX5A/CYC1/SHMT2/UQCR10/NDUFA12/UQCC3/NDUFS3/ADSL	52
GO:0006414	translational elongation	46/748	88/4114	2.72131476947794e-13	6.03548739944928e-11	5.50196647753847e-11	MRPL43/MRPS24/MRPS34/MRPL22/MRPS18A/EEF1D/MRPL4/MRPL27/MRPL18/EEF1B2/MRPL37/MRPS15/MRPS2/TSFM/MRPS7/MRPS26/EEFSEC/RPLP1/EIF4A3/MRPL24/MRPL9/OXA1L/EEF1A1/MRPL16/MRPL58/MRPL57/MRPL11/AURKAIP1/TUFM/GADD45GIP1/MRPL14/MRPS11/MRPL41/MRPS16/MRPL40/MRPL21/RACK1/MRPL53/MRPL23/MRPS17/MRPL20/EEF1G/MRPL46/MRPL12/MRPS21/MRPL45	46
GO:0070125	mitochondrial translational elongation	38/748	66/4114	6.2217502976955e-13	1.28790231162297e-10	1.17405519652654e-10	MRPL43/MRPS24/MRPS34/MRPL22/MRPS18A/MRPL4/MRPL27/MRPL18/MRPL37/MRPS15/MRPS2/TSFM/MRPS7/MRPS26/MRPL24/MRPL9/OXA1L/MRPL16/MRPL58/MRPL57/MRPL11/AURKAIP1/TUFM/GADD45GIP1/MRPL14/MRPS11/MRPL41/MRPS16/MRPL40/MRPL21/MRPL53/MRPL23/MRPS17/MRPL20/MRPL46/MRPL12/MRPS21/MRPL45	38
GO:0070126	mitochondrial translational termination	37/748	65/4114	2.04995644082424e-12	3.97819671797453e-10	3.62653478248445e-10	MRPL43/MRPS24/MRPS34/MRPL22/MRPS18A/MRPL4/MRPL27/MRPL18/MRPL37/MRPS15/MRPS2/MRPS7/MRPS26/MRPL24/MRPL9/MRRF/OXA1L/MRPL16/MRPL58/MRPL57/MRPL11/AURKAIP1/GADD45GIP1/MRPL14/MRPS11/MRPL41/MRPS16/MRPL40/MRPL21/MRPL53/MRPL23/MRPS17/MRPL20/MRPL46/MRPL12/MRPS21/MRPL45	37
GO:0022900	electron transport chain	48/748	101/4114	7.8312044493643e-12	1.43034645972213e-09	1.30390766342666e-09	NDUFAB1/UQCRC1/BID/AIFM2/AKR7A2/NDUFB4/SDHA/AKR1B1/COQ9/PHGDH/NDUFB7/IDH3B/GFUS/ETFB/GLRX3/NDUFC1/NDUFS8/NDUFS7/PARK7/SDHB/NDUFA8/NQO2/COX6B1/COX4I1/NDUFA2/CCNB1/ISCU/NDUFA9/NDUFB10/NDUFB11/SURF1/PTGES2/PINK1/NDUFS2/NDUFB8/NDUFV1/SDHAF2/COA6/NDUFS5/UQCRFS1/COX8A/NDUFV2/COX5A/CYC1/UQCR10/NDUFA12/UQCC3/NDUFS3	48
GO:0006520	cellular amino acid metabolic process	49/748	107/4114	2.58621204542695e-11	4.46121577836149e-09	4.0668562515515e-09	PSMB1/HSD17B10/PSMC5/PSME1/PHGDH/COMT/PSMD8/GCAT/PSMB5/PSME2/GSS/PSMA7/PSMD7/OAZ1/BCAT2/AIMP2/HARS2/PSMD14/PARK7/PEPD/PSMB2/MPST/PSMA1/ASS1/CARS2/PSMB7/PSMB6/PYCR2/FARS2/HPD/PSMD4/PSMB4/PSMC2/ALDH7A1/PSMC3/PCBD1/HARS1/KYAT1/CTPS1/SEPHS2/OAZ2/PPA1/NQO1/SHMT2/PYCR1/PSMD13/PSMB8/BCKDHA/PSMB3	49
GO:0009308	amine metabolic process	31/748	54/4114	9.93217180936327e-11	1.54196967340365e-08	1.40566368396725e-08	GDE1/PSMB1/PSMC5/PSME1/COMT/DHPS/PSMD8/PSMB5/PSME2/PSMA7/PSMD7/OAZ1/PSMD14/PARK7/PSMB2/PNKD/PSMA1/PSMB7/SAT2/PSMB6/PSMD4/PSMB4/PSMC2/ALDH7A1/PSMC3/KYAT1/OAZ2/NQO1/PSMD13/PSMB8/PSMB3	31
GO:0044106	cellular amine metabolic process	31/748	54/4114	9.93217180936327e-11	1.54196967340365e-08	1.40566368396725e-08	GDE1/PSMB1/PSMC5/PSME1/COMT/DHPS/PSMD8/PSMB5/PSME2/PSMA7/PSMD7/OAZ1/PSMD14/PARK7/PSMB2/PNKD/PSMA1/PSMB7/SAT2/PSMB6/PSMD4/PSMB4/PSMC2/ALDH7A1/PSMC3/KYAT1/OAZ2/NQO1/PSMD13/PSMB8/PSMB3	31
GO:0015980	energy derivation by oxidation of organic compounds	54/748	129/4114	1.72436561953093e-10	2.5495977374493e-08	2.32422012577377e-08	NDUFAB1/UQCRC1/BID/AIFM2/NDUFB4/IDH3G/SDHA/COQ9/FH/NDUFB7/IDH3B/NOP53/ETFB/NDUFC1/NDUFS8/NDUFS7/PARK7/SDHB/NDUFA8/COX6B1/COX4I1/NDUFA2/PDHA1/CCNB1/ISCU/NDUFA9/NDUFB10/MDH2/NDUFB11/SURF1/OXA1L/PINK1/NDUFS2/SUCLG1/NDUFB8/NDUFV1/SDHAF2/COA6/PDHB/NDUFS5/UQCRFS1/PRELID1/GAA/PPP1CA/COX8A/NDUFV2/COX5A/CYC1/SHMT2/UQCR10/NDUFA12/UQCC3/NDUFS3/ADSL	54
GO:1901361	organic cyclic compound catabolic process	93/748	280/4114	2.63027100655286e-10	3.71226885243028e-08	3.38411422804815e-08	PSMB1/RNH1/MRTO4/RPL18/NTHL1/EXOSC7/RPS5/BAX/PSMC5/RPLP0/PSME1/COMT/ACOT7/PSMD8/RPL3/PSMB5/PSME2/PSMA7/PSMD7/HMOX2/RNASEH2A/RPS16/RPL18A/DDX49/NUDT1/RPL28/RPL19/RPS13/DNPH1/RPL24/PSMD14/SNX17/RPS15/EXOSC8/RPL5/TRIR/SMUG1/ITPA/PSMB2/DUT/PSMA1/LSM7/LSM4/RPL27/GRSF1/PSMB7/RPL35/RPS6/RPLP1/WDR61/RPS2/EIF4A3/NT5C3B/PSMB6/RPS11/RPL13A/RPS8/RPL10/RPL7A/RPS3/CARHSP1/HPD/PSMD4/PSMB4/RPL8/PSMC2/RPL29/RPS14/NUDT5/METTL3/PSMC3/PCBD1/POLR2G/RPSA/FEN1/KYAT1/EXOSC1/RPS21/RPL15/APOBEC3B/DCTPP1/RPL35A/PSMD13/RPS26/RPL37A/RPL12/RPL10A/PNP/PSMB8/DXO/UBA52/PDXP/PSMB3	93
GO:0019439	aromatic compound catabolic process	92/748	279/4114	5.14927763092482e-10	6.95152480174851e-08	6.33702862679948e-08	PSMB1/RNH1/MRTO4/RPL18/NTHL1/EXOSC7/RPS5/BAX/PSMC5/RPLP0/PSME1/COMT/ACOT7/PSMD8/RPL3/PSMB5/PSME2/PSMA7/PSMD7/HMOX2/RNASEH2A/RPS16/RPL18A/DDX49/NUDT1/RPL28/RPL19/RPS13/DNPH1/RPL24/PSMD14/RPS15/EXOSC8/RPL5/TRIR/SMUG1/ITPA/PSMB2/DUT/PSMA1/LSM7/LSM4/RPL27/GRSF1/PSMB7/RPL35/RPS6/RPLP1/WDR61/RPS2/EIF4A3/NT5C3B/PSMB6/RPS11/RPL13A/RPS8/RPL10/RPL7A/RPS3/CARHSP1/HPD/PSMD4/PSMB4/RPL8/PSMC2/RPL29/RPS14/NUDT5/METTL3/PSMC3/PCBD1/POLR2G/RPSA/FEN1/KYAT1/EXOSC1/RPS21/RPL15/APOBEC3B/DCTPP1/RPL35A/PSMD13/RPS26/RPL37A/RPL12/RPL10A/PNP/PSMB8/DXO/UBA52/PDXP/PSMB3	92
GO:0022904	respiratory electron transport chain	39/748	82/4114	7.48399440394248e-10	9.68241776010058e-08	8.82651796149181e-08	NDUFAB1/UQCRC1/BID/AIFM2/NDUFB4/SDHA/COQ9/NDUFB7/ETFB/NDUFC1/NDUFS8/NDUFS7/PARK7/SDHB/NDUFA8/COX6B1/COX4I1/NDUFA2/CCNB1/ISCU/NDUFA9/NDUFB10/NDUFB11/PINK1/NDUFS2/NDUFB8/NDUFV1/SDHAF2/COA6/NDUFS5/UQCRFS1/COX8A/NDUFV2/COX5A/CYC1/UQCR10/NDUFA12/UQCC3/NDUFS3	39
GO:0042773	ATP synthesis coupled electron transport	36/748	73/4114	9.71328901844936e-10	1.20639049609141e-07	1.09974880718359e-07	NDUFAB1/UQCRC1/BID/NDUFB4/SDHA/COQ9/NDUFB7/NDUFC1/NDUFS8/NDUFS7/PARK7/NDUFA8/COX6B1/COX4I1/NDUFA2/CCNB1/ISCU/NDUFA9/NDUFB10/NDUFB11/PINK1/NDUFS2/NDUFB8/NDUFV1/SDHAF2/COA6/NDUFS5/UQCRFS1/COX8A/NDUFV2/COX5A/CYC1/UQCR10/NDUFA12/UQCC3/NDUFS3	36
GO:0044270	cellular nitrogen compound catabolic process	90/748	275/4114	1.26547833492209e-09	1.51127316535888e-07	1.37768066502247e-07	PSMB1/RNH1/MRTO4/RPL18/NTHL1/EXOSC7/RPS5/BAX/PSMC5/RPLP0/PSME1/ACOT7/PSMD8/RPL3/PSMB5/PSME2/PSMA7/PSMD7/HMOX2/RNASEH2A/RPS16/RPL18A/DDX49/NUDT1/RPL28/RPL19/RPS13/DNPH1/RPL24/PSMD14/RPS15/EXOSC8/RPL5/TRIR/SMUG1/ITPA/PSMB2/MPST/DUT/PSMA1/LSM7/LSM4/RPL27/GRSF1/PSMB7/RPL35/RPS6/RPLP1/WDR61/RPS2/EIF4A3/NT5C3B/PSMB6/RPS11/RPL13A/RPS8/RPL10/RPL7A/RPS3/CARHSP1/PSMD4/PSMB4/RPL8/PSMC2/RPL29/RPS14/NUDT5/METTL3/PSMC3/POLR2G/RPSA/FEN1/KYAT1/EXOSC1/RPS21/RPL15/APOBEC3B/DCTPP1/RPL35A/PSMD13/RPS26/RPL37A/RPL12/RPL10A/PNP/PSMB8/DXO/UBA52/PDXP/PSMB3	90
GO:0046034	ATP metabolic process	58/748	150/4114	1.46583774823877e-09	1.68571341047459e-07	1.53670085965461e-07	NDUFAB1/UQCRC1/BID/NDUFB4/SDHA/COQ9/AAAS/NDUFB7/AK1/NDUFC1/NDUFS8/ATP5F1B/GAPDH/TPI1/NDUFS7/PARK7/ATP5PB/NDUFA8/COX6B1/COX4I1/NDUFA2/CCNB1/ATP5MC2/ISCU/NDUFA9/NDUFB10/NDUFB11/SURF1/ATP5F1A/ATP5MC3/ATP5PF/SEC13/PINK1/NDUFS2/ATP5MC1/JMJD8/STOML2/NUDT5/NDUFB8/ATP5MG/NDUFV1/SDHAF2/COA6/NDUFS5/UQCRFS1/PGAM1/COX8A/NDUFV2/COX5A/CYC1/SHMT2/UQCR10/NDUFA12/UQCC3/NDUFS3/ATP5MF/ATP5PO/EIF6	58
GO:0046700	heterocycle catabolic process	89/748	272/4114	1.60117863333303e-09	1.76586734600666e-07	1.60976940195336e-07	PSMB1/RNH1/MRTO4/RPL18/NTHL1/EXOSC7/RPS5/BAX/PSMC5/RPLP0/PSME1/ACOT7/PSMD8/RPL3/PSMB5/PSME2/PSMA7/PSMD7/HMOX2/RNASEH2A/RPS16/RPL18A/DDX49/NUDT1/RPL28/RPL19/RPS13/DNPH1/RPL24/PSMD14/RPS15/EXOSC8/RPL5/TRIR/SMUG1/ITPA/PSMB2/DUT/PSMA1/LSM7/LSM4/RPL27/GRSF1/PSMB7/RPL35/RPS6/RPLP1/WDR61/RPS2/EIF4A3/NT5C3B/PSMB6/RPS11/RPL13A/RPS8/RPL10/RPL7A/RPS3/CARHSP1/PSMD4/PSMB4/RPL8/PSMC2/RPL29/RPS14/NUDT5/METTL3/PSMC3/POLR2G/RPSA/FEN1/KYAT1/EXOSC1/RPS21/RPL15/APOBEC3B/DCTPP1/RPL35A/PSMD13/RPS26/RPL37A/RPL12/RPL10A/PNP/PSMB8/DXO/UBA52/PDXP/PSMB3	89
