gene_id	genes	cluster	original_id	gene_biotype	external_gene_name	entrezgene_id	description	chromosome_name	start_position	end_position	strand
ENSG00000099810	ENSG00000099810	6	ENSG00000099810	protein_coding	MTAP	4507	methylthioadenosine phosphorylase [Source:HGNC Symbol;Acc:HGNC:7413]	9	21802636	21937651	1
ENSG00000099899	ENSG00000099899	6	ENSG00000099899	protein_coding	TRMT2A	27037	tRNA methyltransferase 2 homolog A [Source:HGNC Symbol;Acc:HGNC:24974]	22	20111875	20117392	-1
ENSG00000100221	ENSG00000100221	6	ENSG00000100221	protein_coding	JOSD1	9929	Josephin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28953]	22	38685543	38701556	-1
ENSG00000100815	ENSG00000100815	6	ENSG00000100815	protein_coding	TRIP11	9321	thyroid hormone receptor interactor 11 [Source:HGNC Symbol;Acc:HGNC:12305]	14	91965991	92040896	-1
ENSG00000100906	ENSG00000100906	6	ENSG00000100906	protein_coding	NFKBIA	4792	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	14	35401079	35404749	-1
ENSG00000102595	ENSG00000102595	6	ENSG00000102595	protein_coding	UGGT2	55757	UDP-glucose glycoprotein glucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15664]	13	95801580	96053482	-1
ENSG00000102934	ENSG00000102934	6	ENSG00000102934	protein_coding	PLLP	51090	plasmolipin [Source:HGNC Symbol;Acc:HGNC:18553]	16	57248547	57284672	-1
ENSG00000104312	ENSG00000104312	6	ENSG00000104312	protein_coding	RIPK2	8767	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	8	89757806	89791064	1
ENSG00000104412	ENSG00000104412	6	ENSG00000104412	protein_coding	EMC2	9694	ER membrane protein complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:28963]	8	108443601	108489196	1
ENSG00000104907	ENSG00000104907	6	ENSG00000104907	protein_coding	TRMT1	55621	tRNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:25980]	19	13104902	13117567	-1
ENSG00000105793	ENSG00000105793	6	ENSG00000105793	protein_coding	GTPBP10	85865	GTP binding protein 10 [Source:HGNC Symbol;Acc:HGNC:25106]	7	90335223	90391453	1
ENSG00000105793	ENSG00000105793	6	ENSG00000105793	protein_coding	GTPBP10	101927446	GTP binding protein 10 [Source:HGNC Symbol;Acc:HGNC:25106]	7	90335223	90391453	1
ENSG00000105929	ENSG00000105929	6	ENSG00000105929	protein_coding	ATP6V0A4	50617	ATPase H+ transporting V0 subunit a4 [Source:HGNC Symbol;Acc:HGNC:866]	7	138706294	138799560	-1
ENSG00000106133	ENSG00000106133	6	ENSG00000106133	transcribed_unprocessed_pseudogene	NSUN5P2	NA	NSUN5 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:16609]	7	72948485	72954717	-1
ENSG00000107951	ENSG00000107951	6	ENSG00000107951	protein_coding	MTPAP	55149	mitochondrial poly(A) polymerase [Source:HGNC Symbol;Acc:HGNC:25532]	10	30309801	30374448	-1
ENSG00000108106	ENSG00000108106	6	ENSG00000108106	protein_coding	UBE2S	27338	ubiquitin conjugating enzyme E2 S [Source:HGNC Symbol;Acc:HGNC:17895]	19	55399745	55407788	-1
ENSG00000108587	ENSG00000108587	6	ENSG00000108587	protein_coding	GOSR1	9527	golgi SNAP receptor complex member 1 [Source:HGNC Symbol;Acc:HGNC:4430]	17	30477362	30527592	1
ENSG00000110851	ENSG00000110851	6	ENSG00000110851	protein_coding	PRDM4	11108	PR/SET domain 4 [Source:HGNC Symbol;Acc:HGNC:9348]	12	107732871	107761272	-1
ENSG00000111203	ENSG00000111203	6	ENSG00000111203	protein_coding	ITFG2	55846	integrin alpha FG-GAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:30879]	12	2812622	2859791	1
ENSG00000111247	ENSG00000111247	6	ENSG00000111247	protein_coding	RAD51AP1	10635	RAD51 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16956]	12	4538798	4560047	1
ENSG00000111912	ENSG00000111912	6	ENSG00000111912	protein_coding	NCOA7	135112	nuclear receptor coactivator 7 [Source:HGNC Symbol;Acc:HGNC:21081]	6	125781161	125932034	1
ENSG00000112658	ENSG00000112658	6	ENSG00000112658	protein_coding	SRF	6722	serum response factor [Source:HGNC Symbol;Acc:HGNC:11291]	6	43171269	43181506	1
ENSG00000112739	ENSG00000112739	6	ENSG00000112739	protein_coding	PRPF4B	8899	pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:HGNC:17346]	6	4021267	4064983	1
ENSG00000113070	ENSG00000113070	6	ENSG00000113070	protein_coding	HBEGF	1839	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	5	140332843	140346603	-1
ENSG00000113161	ENSG00000113161	6	ENSG00000113161	protein_coding	HMGCR	3156	3-hydroxy-3-methylglutaryl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:5006]	5	75336329	75364001	1
ENSG00000114648	ENSG00000114648	6	ENSG00000114648	protein_coding	KLHL18	23276	kelch like family member 18 [Source:HGNC Symbol;Acc:HGNC:29120]	3	47282917	47346816	1
ENSG00000114988	ENSG00000114988	6	ENSG00000114988	protein_coding	LMAN2L	81562	lectin, mannose binding 2 like [Source:HGNC Symbol;Acc:HGNC:19263]	2	96705929	96740064	-1
ENSG00000115844	ENSG00000115844	6	ENSG00000115844	protein_coding	DLX2	1746	distal-less homeobox 2 [Source:HGNC Symbol;Acc:HGNC:2915]	2	172099438	172102900	-1
ENSG00000115947	ENSG00000115947	6	ENSG00000115947	protein_coding	ORC4	5000	origin recognition complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:8490]	2	147930396	148021604	-1
ENSG00000117010	ENSG00000117010	6	ENSG00000117010	protein_coding	ZNF684	127396	zinc finger protein 684 [Source:HGNC Symbol;Acc:HGNC:28418]	1	40531573	40548167	1
ENSG00000117318	ENSG00000117318	6	ENSG00000117318	protein_coding	ID3	3399	inhibitor of DNA binding 3 [Source:HGNC Symbol;Acc:HGNC:5362]	1	23557926	23559501	-1
ENSG00000117335	ENSG00000117335	6	ENSG00000117335	protein_coding	CD46	4179	CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]	1	207752037	207795513	1
ENSG00000117475	ENSG00000117475	6	ENSG00000117475	protein_coding	BLZF1	8548	basic leucine zipper nuclear factor 1 [Source:HGNC Symbol;Acc:HGNC:1065]	1	169367970	169396540	1
ENSG00000117616	ENSG00000117616	6	ENSG00000117616	protein_coding	RSRP1	57035	arginine and serine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:25234]	1	25242249	25338213	-1
ENSG00000119004	ENSG00000119004	6	ENSG00000119004	protein_coding	CYP20A1	57404	cytochrome P450 family 20 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:20576]	2	203238977	203306026	1
ENSG00000119943	ENSG00000119943	6	ENSG00000119943	protein_coding	PYROXD2	84795	pyridine nucleotide-disulphide oxidoreductase domain 2 [Source:HGNC Symbol;Acc:HGNC:23517]	10	98383565	98415182	-1
ENSG00000120709	ENSG00000120709	6	ENSG00000120709	protein_coding	FAM53C	51307	family with sequence similarity 53 member C [Source:HGNC Symbol;Acc:HGNC:1336]	5	138331935	138349729	1
ENSG00000120709	ENSG00000120709	6	ENSG00000120709	protein_coding	FAM53C	100128966	family with sequence similarity 53 member C [Source:HGNC Symbol;Acc:HGNC:1336]	5	138331935	138349729	1
ENSG00000121749	ENSG00000121749	6	ENSG00000121749	protein_coding	TBC1D15	64786	TBC1 domain family member 15 [Source:HGNC Symbol;Acc:HGNC:25694]	12	71839707	71927248	1
ENSG00000121769	ENSG00000121769	6	ENSG00000121769	protein_coding	FABP3	2170	fatty acid binding protein 3 [Source:HGNC Symbol;Acc:HGNC:3557]	1	31365253	31376850	-1
ENSG00000121966	ENSG00000121966	6	ENSG00000121966	protein_coding	CXCR4	7852	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	2	136114349	136119177	-1
ENSG00000122482	ENSG00000122482	6	ENSG00000122482	protein_coding	ZNF644	84146	zinc finger protein 644 [Source:HGNC Symbol;Acc:HGNC:29222]	1	90915298	91022272	-1
ENSG00000122483	ENSG00000122483	6	ENSG00000122483	protein_coding	CCDC18	343099	coiled-coil domain containing 18 [Source:HGNC Symbol;Acc:HGNC:30370]	1	93179919	93278730	1
ENSG00000123154	ENSG00000123154	6	ENSG00000123154	protein_coding	WDR83	84292	WD repeat domain 83 [Source:HGNC Symbol;Acc:HGNC:32672]	19	12666802	12675832	1
ENSG00000123219	ENSG00000123219	6	ENSG00000123219	protein_coding	CENPK	64105	centromere protein K [Source:HGNC Symbol;Acc:HGNC:29479]	5	65517766	65563168	-1
ENSG00000124762	ENSG00000124762	6	ENSG00000124762	protein_coding	CDKN1A	1026	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	6	36676460	36687337	1
ENSG00000125703	ENSG00000125703	6	ENSG00000125703	protein_coding	ATG4C	84938	autophagy related 4C cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:16040]	1	62784132	62865516	1
ENSG00000125968	ENSG00000125968	6	ENSG00000125968	protein_coding	ID1	3397	inhibitor of DNA binding 1 [Source:HGNC Symbol;Acc:HGNC:5360]	20	31605283	31606515	1
ENSG00000127419	ENSG00000127419	6	ENSG00000127419	protein_coding	TMEM175	84286	transmembrane protein 175 [Source:HGNC Symbol;Acc:HGNC:28709]	4	932387	958656	1
ENSG00000128272	ENSG00000128272	6	ENSG00000128272	protein_coding	ATF4	468	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	22	39519695	39522683	1
ENSG00000128609	ENSG00000128609	6	ENSG00000128609	protein_coding	NDUFA5	4698	NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]	7	123536997	123557904	-1
ENSG00000128683	ENSG00000128683	6	ENSG00000128683	protein_coding	GAD1	2571	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	2	170813213	170861151	1
ENSG00000128891	ENSG00000128891	6	ENSG00000128891	protein_coding	CCDC32	90416	coiled-coil domain containing 32 [Source:HGNC Symbol;Acc:HGNC:28295]	15	40528683	40565054	-1
ENSG00000129317	ENSG00000129317	6	ENSG00000129317	protein_coding	PUS7L	83448	pseudouridine synthase 7 like [Source:HGNC Symbol;Acc:HGNC:25276]	12	43718992	43758793	-1
ENSG00000130748	ENSG00000130748	6	ENSG00000130748	protein_coding	TMEM160	54958	transmembrane protein 160 [Source:HGNC Symbol;Acc:HGNC:26042]	19	47045909	47048624	-1
ENSG00000132286	ENSG00000132286	6	ENSG00000132286	protein_coding	TIMM10B	26515	translocase of inner mitochondrial membrane 10B [Source:HGNC Symbol;Acc:HGNC:4022]	11	6481501	6484681	1
ENSG00000132475	ENSG00000132475	6	ENSG00000132475	protein_coding	H3-3B	3021	H3.3 histone B [Source:HGNC Symbol;Acc:HGNC:4765]	17	75776434	75785893	-1
ENSG00000132950	ENSG00000132950	6	ENSG00000132950	protein_coding	ZMYM5	9205	zinc finger MYM-type containing 5 [Source:HGNC Symbol;Acc:HGNC:13029]	13	19823482	19863649	-1
ENSG00000134107	ENSG00000134107	6	ENSG00000134107	protein_coding	BHLHE40	8553	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	3	4979437	4985323	1
ENSG00000134146	ENSG00000134146	6	ENSG00000134146	protein_coding	DPH6	89978	diphthamine biosynthesis 6 [Source:HGNC Symbol;Acc:HGNC:30543]	15	35217345	35546193	-1
ENSG00000134884	ENSG00000134884	6	ENSG00000134884	protein_coding	ARGLU1	55082	arginine and glutamate rich 1 [Source:HGNC Symbol;Acc:HGNC:25482]	13	106541673	106568137	-1
ENSG00000136536	ENSG00000136536	6	ENSG00000136536	protein_coding	MARCHF7	64844	membrane associated ring-CH-type finger 7 [Source:HGNC Symbol;Acc:HGNC:17393]	2	159712457	159771027	1
ENSG00000136603	ENSG00000136603	6	ENSG00000136603	protein_coding	SKIL	6498	SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897]	3	170357342	170396835	1
ENSG00000136826	ENSG00000136826	6	ENSG00000136826	protein_coding	KLF4	9314	KLF transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	9	107484852	107490482	-1
ENSG00000137135	ENSG00000137135	6	ENSG00000137135	protein_coding	ARHGEF39	84904	Rho guanine nucleotide exchange factor 39 [Source:HGNC Symbol;Acc:HGNC:25909]	9	35658875	35675866	-1
ENSG00000137267	ENSG00000137267	6	ENSG00000137267	protein_coding	TUBB2A	7280	tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]	6	3153497	3157544	-1
ENSG00000138180	ENSG00000138180	6	ENSG00000138180	protein_coding	CEP55	55165	centrosomal protein 55 [Source:HGNC Symbol;Acc:HGNC:1161]	10	93496612	93529092	1
ENSG00000138621	ENSG00000138621	6	ENSG00000138621	protein_coding	PPCDC	60490	phosphopantothenoylcysteine decarboxylase [Source:HGNC Symbol;Acc:HGNC:28107]	15	75023586	75117462	1
ENSG00000139163	ENSG00000139163	6	ENSG00000139163	protein_coding	ETNK1	55500	ethanolamine kinase 1 [Source:HGNC Symbol;Acc:HGNC:24649]	12	22625075	22690665	1
ENSG00000139190	ENSG00000139190	6	ENSG00000139190	protein_coding	VAMP1	6843	vesicle associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:12642]	12	6462237	6470677	-1
ENSG00000141232	ENSG00000141232	6	ENSG00000141232	protein_coding	TOB1	10140	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	17	50862223	50867978	-1
ENSG00000141582	ENSG00000141582	6	ENSG00000141582	protein_coding	CBX4	8535	chromobox 4 [Source:HGNC Symbol;Acc:HGNC:1554]	17	79833156	79839440	-1
ENSG00000142156	ENSG00000142156	6	ENSG00000142156	protein_coding	COL6A1	1291	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	21	45981770	46005050	1
ENSG00000142867	ENSG00000142867	6	ENSG00000142867	protein_coding	BCL10	8915	BCL10 immune signaling adaptor [Source:HGNC Symbol;Acc:HGNC:989]	1	85265776	85276632	-1
ENSG00000143033	ENSG00000143033	6	ENSG00000143033	protein_coding	MTF2	22823	metal response element binding transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:29535]	1	93079235	93139079	1
ENSG00000143156	ENSG00000143156	6	ENSG00000143156	protein_coding	NME7	29922	NME/NM23 family member 7 [Source:HGNC Symbol;Acc:HGNC:20461]	1	169132531	169367948	-1
ENSG00000143384	ENSG00000143384	6	ENSG00000143384	protein_coding	MCL1	4170	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	1	150560895	150579738	-1
ENSG00000143384	ENSG00000143384	6	ENSG00000143384	protein_coding	MCL1	574406	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	1	150560895	150579738	-1
ENSG00000145781	ENSG00000145781	6	ENSG00000145781	protein_coding	COMMD10	51397	COMM domain containing 10 [Source:HGNC Symbol;Acc:HGNC:30201]	5	116085016	116412762	1
ENSG00000146278	ENSG00000146278	6	ENSG00000146278	protein_coding	PNRC1	10957	proline rich nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:17278]	6	89080751	89085160	1
ENSG00000147789	ENSG00000147789	6	ENSG00000147789	protein_coding	ZNF7	7553	zinc finger protein 7 [Source:HGNC Symbol;Acc:HGNC:13139]	8	144827518	144847509	1
ENSG00000147804	ENSG00000147804	6	ENSG00000147804	protein_coding	SLC39A4	55630	solute carrier family 39 member 4 [Source:HGNC Symbol;Acc:HGNC:17129]	8	144409742	144416844	-1
ENSG00000147883	ENSG00000147883	6	ENSG00000147883	protein_coding	CDKN2B	1030	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	9	22002903	22009305	-1
ENSG00000148339	ENSG00000148339	6	ENSG00000148339	protein_coding	SLC25A25	114789	solute carrier family 25 member 25 [Source:HGNC Symbol;Acc:HGNC:20663]	9	128068201	128109245	1
ENSG00000149646	ENSG00000149646	6	ENSG00000149646	protein_coding	CNBD2	140894	cyclic nucleotide binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16145]	20	35954564	36030700	1
ENSG00000150991	ENSG00000150991	6	ENSG00000150991	protein_coding	UBC	7316	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]	12	124911604	124917368	-1
ENSG00000151694	ENSG00000151694	6	ENSG00000151694	protein_coding	ADAM17	6868	ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195]	2	9488486	9556732	-1
ENSG00000151849	ENSG00000151849	6	ENSG00000151849	protein_coding	CENPJ	55835	centromere protein J [Source:HGNC Symbol;Acc:HGNC:17272]	13	24882279	24922889	-1
ENSG00000152422	ENSG00000152422	6	ENSG00000152422	protein_coding	XRCC4	7518	X-ray repair cross complementing 4 [Source:HGNC Symbol;Acc:HGNC:12831]	5	83077498	83353787	1
ENSG00000152455	ENSG00000152455	6	ENSG00000152455	protein_coding	SUV39H2	79723	SUV39H2 histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:17287]	10	14878820	14904315	1
ENSG00000152518	ENSG00000152518	6	ENSG00000152518	protein_coding	ZFP36L2	678	ZFP36 ring finger protein like 2 [Source:HGNC Symbol;Acc:HGNC:1108]	2	43222402	43226606	-1
ENSG00000153006	ENSG00000153006	6	ENSG00000153006	protein_coding	SREK1IP1	285672	SREK1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:26716]	5	64718148	64768691	-1
ENSG00000153029	ENSG00000153029	6	ENSG00000153029	protein_coding	MR1	3140	major histocompatibility complex, class I-related [Source:HGNC Symbol;Acc:HGNC:4975]	1	181033374	181061938	1
ENSG00000153443	ENSG00000153443	6	ENSG00000153443	protein_coding	UBALD1	124402	UBA like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29576]	16	4608883	4615027	-1
ENSG00000153487	ENSG00000153487	6	ENSG00000153487	protein_coding	ING1	3621	inhibitor of growth family member 1 [Source:HGNC Symbol;Acc:HGNC:6062]	13	110712736	110723339	1
ENSG00000155090	ENSG00000155090	6	ENSG00000155090	protein_coding	KLF10	7071	KLF transcription factor 10 [Source:HGNC Symbol;Acc:HGNC:11810]	8	102648784	102655725	-1
ENSG00000155760	ENSG00000155760	6	ENSG00000155760	protein_coding	FZD7	8324	frizzled class receptor 7 [Source:HGNC Symbol;Acc:HGNC:4045]	2	202033855	202038441	1
ENSG00000156162	ENSG00000156162	6	ENSG00000156162	protein_coding	DPY19L4	286148	dpy-19 like 4 [Source:HGNC Symbol;Acc:HGNC:27829]	8	94719703	94793836	1
ENSG00000156171	ENSG00000156171	6	ENSG00000156171	protein_coding	DRAM2	128338	DNA damage regulated autophagy modulator 2 [Source:HGNC Symbol;Acc:HGNC:28769]	1	111117163	111140203	-1
ENSG00000158792	ENSG00000158792	6	ENSG00000158792	protein_coding	SPATA2L	124044	spermatogenesis associated 2 like [Source:HGNC Symbol;Acc:HGNC:28393]	16	89696357	89701705	-1
ENSG00000160799	ENSG00000160799	6	ENSG00000160799	protein_coding	CCDC12	151903	coiled-coil domain containing 12 [Source:HGNC Symbol;Acc:HGNC:28332]	3	46921726	46982010	-1
ENSG00000161010	ENSG00000161010	6	ENSG00000161010	protein_coding	MRNIP	51149	MRN complex interacting protein [Source:HGNC Symbol;Acc:HGNC:30817]	5	179835133	179862173	-1
ENSG00000162775	ENSG00000162775	6	ENSG00000162775	protein_coding	RBM15	64783	RNA binding motif protein 15 [Source:HGNC Symbol;Acc:HGNC:14959]	1	110338506	110346681	1
ENSG00000162819	ENSG00000162819	6	ENSG00000162819	protein_coding	BROX	148362	BRO1 domain and CAAX motif containing [Source:HGNC Symbol;Acc:HGNC:26512]	1	222712553	222735196	1
ENSG00000163002	ENSG00000163002	6	ENSG00000163002	protein_coding	NUP35	129401	nucleoporin 35 [Source:HGNC Symbol;Acc:HGNC:29797]	2	183117513	183161680	1
ENSG00000163132	ENSG00000163132	6	ENSG00000163132	protein_coding	MSX1	4487	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	4	4859665	4863936	1
ENSG00000163435	ENSG00000163435	6	ENSG00000163435	protein_coding	ELF3	1999	E74 like ETS transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3318]	1	202007945	202017183	1
ENSG00000163472	ENSG00000163472	6	ENSG00000163472	protein_coding	TMEM79	84283	transmembrane protein 79 [Source:HGNC Symbol;Acc:HGNC:28196]	1	156282935	156293185	1
ENSG00000163660	ENSG00000163660	6	ENSG00000163660	protein_coding	CCNL1	57018	cyclin L1 [Source:HGNC Symbol;Acc:HGNC:20569]	3	157146508	157160760	-1
ENSG00000164039	ENSG00000164039	6	ENSG00000164039	protein_coding	BDH2	56898	3-hydroxybutyrate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:32389]	4	103077592	103099870	-1
ENSG00000164162	ENSG00000164162	6	ENSG00000164162	protein_coding	ANAPC10	10393	anaphase promoting complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:24077]	4	144831908	145098541	-1
ENSG00000164180	ENSG00000164180	6	ENSG00000164180	protein_coding	TMEM161B	153396	transmembrane protein 161B [Source:HGNC Symbol;Acc:HGNC:28483]	5	88189633	88269476	-1
ENSG00000165169	ENSG00000165169	6	ENSG00000165169	protein_coding	DYNLT3	6990	dynein light chain Tctex-type 3 [Source:HGNC Symbol;Acc:HGNC:11694]	X	37836757	37847571	-1
ENSG00000165630	ENSG00000165630	6	ENSG00000165630	protein_coding	PRPF18	8559	pre-mRNA processing factor 18 [Source:HGNC Symbol;Acc:HGNC:17351]	10	13586939	13668445	1
ENSG00000165832	ENSG00000165832	6	ENSG00000165832	protein_coding	TRUB1	142940	TruB pseudouridine synthase family member 1 [Source:HGNC Symbol;Acc:HGNC:16060]	10	114938195	114977676	1
ENSG00000166289	ENSG00000166289	6	ENSG00000166289	protein_coding	PLEKHF1	79156	pleckstrin homology and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20764]	19	29665459	29675477	1
ENSG00000166352	ENSG00000166352	6	ENSG00000166352	protein_coding	IFTAP	119710	intraflagellar transport associated protein [Source:HGNC Symbol;Acc:HGNC:25142]	11	36594369	36675695	1
ENSG00000166451	ENSG00000166451	6	ENSG00000166451	protein_coding	CENPN	55839	centromere protein N [Source:HGNC Symbol;Acc:HGNC:30873]	16	81006552	81033114	1
